iter	Passed	Remaining
0	10	10036
1	11	5592
2	21	7270
3	27	6766
4	37	7465
5	40	6627
6	48	6945
7	57	7092
8	63	7045
9	68	6829
10	70	6325
11	76	6299
12	79	6035
13	89	6314
14	94	6225
15	99	6109
16	105	6105
17	106	5831
18	111	5758
19	119	5835
20	125	5835
21	131	5838
22	138	5894
23	146	5947
24	152	5928
25	156	5878
26	159	5740
27	165	5733
28	171	5727
29	176	5705
30	181	5679
31	188	5703
32	197	5781
33	205	5824
34	211	5828
35	212	5699
36	220	5749
37	229	5804
38	234	5770
39	239	5750
40	244	5715
41	250	5708
42	256	5698
43	261	5680
44	266	5653
45	271	5633
46	277	5624
47	282	5593
48	286	5569
49	292	5562
50	297	5530
51	302	5511
52	307	5492
53	312	5471
54	317	5453
55	322	5436
56	327	5422
57	332	5404
58	339	5411
59	344	5395
60	348	5365
61	353	5348
62	359	5343
63	363	5318
64	369	5307
65	374	5300
66	378	5274
67	384	5272
68	389	5254
69	393	5232
70	399	5220
71	403	5206
72	410	5210
73	415	5194
74	419	5178
75	425	5167
76	430	5158
77	435	5144
78	440	5140
79	446	5130
80	451	5123
81	456	5105
82	462	5105
83	466	5090
84	472	5086
85	478	5082
86	484	5082
87	489	5069
88	494	5058
89	499	5049
90	504	5043
91	509	5031
92	515	5025
93	520	5017
94	525	5007
95	532	5014
96	536	4998
97	542	4989
98	548	4988
99	553	4977
100	558	4971
101	564	4965
102	568	4954
103	574	4948
104	582	4968
105	588	4959
106	595	4969
107	600	4960
108	606	4956
109	614	4974
110	620	4966
111	629	4989
112	634	4980
113	641	4985
114	647	4985
115	652	4972
116	661	4993
117	667	4988
118	674	4992
119	682	5003
120	688	4998
121	697	5022
122	706	5040
123	714	5049
124	720	5045
125	729	5062
126	734	5050
127	743	5066
128	749	5058
129	757	5067
130	767	5089
131	776	5106
132	782	5102
133	790	5107
134	795	5098
135	801	5089
136	808	5091
137	814	5089
138	820	5080
139	825	5071
140	831	5065
141	836	5053
142	841	5045
143	848	5045
144	853	5031
145	861	5041
146	866	5030
147	876	5046
148	884	5054
149	892	5055
150	897	5047
151	903	5043
152	911	5046
153	919	5050
154	927	5057
155	937	5072
156	944	5073
157	952	5078
158	960	5082
159	971	5101
160	977	5093
161	983	5085
162	990	5086
163	997	5084
164	1005	5086
165	1011	5083
166	1017	5074
167	1024	5073
168	1029	5063
169	1037	5063
170	1041	5051
171	1046	5038
172	1053	5033
173	1059	5027
174	1063	5015
175	1070	5010
176	1075	4999
177	1079	4985
178	1085	4977
179	1090	4966
180	1094	4953
181	1100	4945
182	1105	4937
183	1111	4930
184	1117	4921
185	1121	4908
186	1127	4900
187	1132	4891
188	1137	4879
189	1143	4873
190	1149	4868
191	1154	4859
192	1160	4853
193	1165	4843
194	1171	4834
195	1176	4827
196	1182	4820
197	1186	4807
198	1236	4978
199	1247	4988
200	1255	4991
201	1261	4983
202	1269	4982
203	1275	4975
204	1283	4975
205	1289	4970
206	1296	4965
207	1302	4959
208	1307	4948
209	1313	4942
210	1320	4938
211	1327	4933
212	1333	4925
213	1339	4918
214	1344	4908
215	1352	4908
216	1357	4897
217	1363	4890
218	1369	4883
219	1373	4869
220	1378	4860
221	1384	4850
222	1389	4841
223	1394	4831
224	1400	4823
225	1405	4812
226	1410	4802
227	1414	4790
228	1419	4780
229	1425	4771
230	1431	4763
231	1436	4755
232	1441	4745
233	1446	4733
234	1452	4729
235	1457	4718
236	1463	4710
237	1468	4700
238	1472	4689
239	1478	4681
240	1483	4670
241	1488	4661
242	1493	4652
243	1499	4644
244	1503	4634
245	1509	4627
246	1513	4615
247	1518	4605
248	1523	4596
249	1528	4586
250	1534	4577
251	1539	4568
252	1545	4562
253	1550	4554
254	1556	4546
255	1562	4540
256	1567	4530
257	1571	4520
258	1576	4510
259	1582	4503
260	1586	4493
261	1592	4484
262	1597	4476
263	1602	4468
264	1607	4459
265	1613	4453
266	1618	4443
