iter	RMSE
0	10.83043947
1	9.749898191
2	8.780324544
3	7.909120545
4	7.12532887
5	6.415560899
6	5.779653077
7	5.207217483
8	4.691927588
9	4.226236393
10	3.806937964
11	3.431743908
12	3.092211552
13	2.787996606
14	2.51327515
15	2.266581583
16	2.045290334
17	1.845411552
18	1.665853272
19	1.504291275
20	1.359197916
21	1.229484393
22	1.112501074
23	1.008208781
24	0.9145516067
25	0.8312260387
26	0.7550495792
27	0.687213268
28	0.6276621879
29	0.5745112758
30	0.5269879752
31	0.484794085
32	0.4471813346
33	0.4141643204
34	0.3854532571
35	0.3595820443
36	0.3371054719
37	0.317217802
38	0.2999571011
39	0.284673494
40	0.2734111109
41	0.261683441
42	0.2501638477
43	0.2403365902
44	0.2329486962
45	0.2271979361
46	0.2205551046
47	0.215883764
48	0.2102238406
49	0.2063097421
50	0.2008173848
51	0.1968989783
52	0.1933778546
53	0.1910492864
54	0.1875017675
55	0.1847909911
56	0.1826187329
57	0.1804083225
58	0.1782572065
59	0.1757909833
60	0.1747033361
61	0.1734493239
62	0.17189178
63	0.1702275924
64	0.1690679833
65	0.167188667
66	0.1659608434
67	0.1645359542
68	0.1631545816
69	0.1616500135
70	0.1609131951
71	0.1600743049
72	0.1588721603
73	0.1579805288
74	0.1569436059
75	0.1561053793
76	0.1553404035
77	0.1548341573
78	0.1535701149
79	0.1531460847
80	0.1522450939
81	0.1515173909
82	0.151065815
83	0.1506249105
84	0.1497951222
85	0.1494677625
86	0.1492248515
87	0.1490241698
88	0.1484697151
89	0.1480963306
90	0.1478150507
91	0.1476132793
92	0.1475117163
93	0.1465270483
94	0.1462252749
95	0.1459306067
96	0.1452661877
97	0.1444548643
98	0.144018802
99	0.1430746649
100	0.1426172609
101	0.1421931742
102	0.1419442088
103	0.1416085265
104	0.1407392442
105	0.1403291399
106	0.1398225576
107	0.1391274167
108	0.1386307586
109	0.1382513054
110	0.1377723476
111	0.1375336319
112	0.1366995446
113	0.1364751012
114	0.1361120308
115	0.1357719041
116	0.135708504
117	0.1350229141
118	0.1347523159
119	0.1346935434
120	0.1344038394
121	0.1340863932
122	0.1337217306
123	0.133495858
124	0.1331156069
125	0.1329450596
126	0.1327861466
127	0.1324475531
128	0.1322659273
129	0.1320854433
130	0.1320348273
131	0.1319661615
132	0.1318353574
133	0.131559582
134	0.1314282137
135	0.1311159587
136	0.1310739116
137	0.1307737942
138	0.1304985968
139	0.130137571
140	0.1296569334
141	0.129265172
142	0.1291735564
143	0.1291092349
144	0.1286771613
145	0.1283526364
146	0.12807774
147	0.1279177694
148	0.1276324272
149	0.1273484765
150	0.1268363962
151	0.1260376084
152	0.125740105
153	0.1252142988
154	0.1249496173
155	0.1246664108
156	0.124259486
157	0.1241361295
158	0.1240125746
159	0.1236600415
160	0.1235949614
161	0.1234367151
162	0.1231507863
163	0.1229144641
164	0.1227331229
165	0.1225378571
166	0.1221703882
167	0.1218080204
168	0.1214589771
169	0.1211581477
170	0.121097149
171	0.1209823708
172	0.1208695773
173	0.1207072073
174	0.1205641178
175	0.1204849716
176	0.1204035388
177	0.1202362281
178	0.1200686019
179	0.1199435836
180	0.1198909831
181	0.119735524
182	0.1196456366
183	0.1194032622
184	0.1187397567
185	0.118628453
186	0.1184139343
187	0.1182017492
188	0.118065611
189	0.1177600053
190	0.1177073006
191	0.1174083312
192	0.1171237036
193	0.1168777914
194	0.1164579344
195	0.116209654
196	0.1161332472
197	0.1160879736
198	0.1159734092
199	0.115767308
200	0.1156810263
201	0.1154859939
202	0.1153860303
203	0.1152854562
204	0.1152228873
205	0.1151212166
206	0.1150579256
207	0.1149581698
208	0.1147892402
209	0.1147339971
210	0.114535898
211	0.1143588325
212	0.1142431026
213	0.1141643912
214	0.1140230604
215	0.1139221275
216	0.1137305049
217	0.1136588181
