iter	Passed	Remaining
0	6	6713
1	12	6013
2	18	6032
3	23	5858
4	28	5731
5	33	5605
6	39	5574
7	45	5608
8	49	5456
9	52	5199
10	57	5178
11	62	5175
12	65	4953
13	70	4936
14	74	4907
15	81	4994
16	82	4766
17	87	4750
18	92	4772
19	96	4751
20	102	4757
21	106	4731
22	111	4750
23	112	4584
24	117	4572
25	121	4562
26	126	4557
27	132	4599
28	136	4584
29	141	4564
30	146	4590
31	152	4599
32	157	4616
33	162	4627
34	167	4625
35	172	4628
36	177	4632
37	183	4653
38	190	4701
39	196	4704
40	201	4718
41	207	4740
42	213	4752
43	218	4752
44	224	4763
45	230	4778
46	235	4781
47	240	4775
48	246	4787
49	252	4791
50	258	4803
51	263	4800
52	268	4805
53	274	4811
54	280	4817
55	285	4819
56	291	4822
57	296	4814
58	301	4803
59	305	4793
60	312	4807
61	319	4839
62	327	4877
63	334	4889
64	342	4919
65	350	4965
66	364	5080
67	378	5183
68	392	5293
69	404	5375
70	424	5557
71	438	5658
72	451	5734
73	462	5789
74	468	5776
75	478	5812
76	485	5821
77	493	5827
78	500	5831
79	508	5847
80	515	5849
81	523	5859
82	528	5844
83	534	5831
84	544	5864
85	550	5855
86	557	5848
87	562	5831
88	568	5814
89	575	5821
90	581	5808
91	589	5817
92	595	5805
93	600	5787
94	608	5793
95	614	5784
96	619	5766
97	625	5756
98	630	5739
99	636	5732
100	642	5721
101	648	5705
102	654	5704
103	660	5692
104	666	5682
105	674	5685
106	680	5680
107	687	5674
108	694	5674
109	699	5657
110	707	5663
111	711	5644
112	718	5641
113	724	5627
114	729	5614
115	736	5611
116	741	5599
117	748	5596
118	758	5611
119	764	5603
120	771	5607
121	778	5603
122	785	5601
123	790	5586
124	801	5607
125	812	5635
126	822	5652
127	833	5675
128	844	5703
129	854	5716
130	864	5736
131	877	5772
132	891	5813
133	905	5850
134	915	5864
135	926	5885
136	938	5911
137	959	5996
138	973	6027
139	987	6067
140	1030	6276
141	1049	6338
142	1060	6354
143	1072	6374
144	1082	6382
145	1094	6403
146	1105	6416
147	1116	6428
148	1130	6455
149	1142	6472
150	1156	6501
151	1168	6521
152	1179	6532
153	1193	6558
154	1206	6576
155	1222	6612
156	1235	6634
157	1251	6670
158	1264	6688
159	1279	6719
160	1293	6740
161	1306	6757
162	1320	6781
163	1333	6799
164	1346	6811
165	1359	6827
166	1372	6845
167	1383	6850
168	1392	6848
169	1403	6851
170	1414	6856
171	1421	6844
172	1431	6842
173	1438	6826
174	1446	6819
175	1454	6808
176	1464	6808
177	1472	6798
178	1481	6797
179	1491	6794
180	1501	6795
181	1510	6789
182	1518	6779
183	1526	6771
184	1534	6759
185	1545	6762
186	1554	6757
187	1571	6788
188	1583	6795
189	1596	6806
190	1605	6798
191	1615	6799
192	1623	6790
193	1633	6785
194	1642	6780
195	1651	6774
196	1662	6775
197	1670	6768
198	1680	6763
199	1686	6747
200	1695	6739
201	1702	6727
202	1711	6719
203	1717	6702
204	1722	6681
205	1729	6666
206	1736	6651
207	1743	6638
208	1748	6617
209	1753	6598
210	1759	6580
211	1765	6561
212	1771	6544
213	1779	6536
214	1788	6529
215	1795	6517
216	1803	6507
217	1810	6494
218	1817	6481
219	1823	6466
220	1831	6454
221	1836	6436
