iter	RMSE
0	10.83412918
1	9.758401925
2	8.787276625
3	7.916565216
4	7.131261687
5	6.423238209
6	5.787612965
7	5.214259117
8	4.697184755
9	4.231305812
10	3.812285345
11	3.437303783
12	3.098082536
13	2.793935991
14	2.520703047
15	2.274387555
16	2.05284073
17	1.85358293
18	1.674848314
19	1.514526987
20	1.369257298
21	1.239516293
22	1.122607311
23	1.019317733
24	0.9265780358
25	0.8429367964
26	0.7667745126
27	0.7002973215
28	0.6405024914
29	0.586733643
30	0.5397467193
31	0.4981625239
32	0.4614512744
33	0.4284462116
34	0.3993351508
35	0.3734825863
36	0.3507710102
37	0.3311182444
38	0.3140233524
39	0.2989578374
40	0.2853173703
41	0.2746120814
42	0.2621444676
43	0.2523477886
44	0.2438196623
45	0.2366787953
46	0.2306065873
47	0.2249039678
48	0.2199681919
49	0.2157376177
50	0.2113054577
51	0.2081685729
52	0.2054403393
53	0.202704762
54	0.1995466145
55	0.1980369907
56	0.195571691
57	0.1931059019
58	0.1910406823
59	0.1889353127
60	0.1878751673
61	0.1865079703
62	0.1842048167
63	0.1822399392
64	0.1813782482
65	0.1804550559
66	0.1789731592
67	0.1781952568
68	0.1769925731
69	0.1752238399
70	0.1734498856
71	0.1730030143
72	0.171683283
73	0.1709755091
74	0.1701283058
75	0.1693162746
76	0.1686092547
77	0.1678142701
78	0.1668032272
79	0.166160424
80	0.1655513789
81	0.1650040284
82	0.1644402031
83	0.1638930476
84	0.1633790488
85	0.1626167344
86	0.1623162141
87	0.1613628593
88	0.1606500804
89	0.1600463266
90	0.1594481109
91	0.1589612531
92	0.1577551406
93	0.1572572101
94	0.1563781745
95	0.1556745984
96	0.1548719668
97	0.1542534972
98	0.1534232595
99	0.1527624057
100	0.1522195955
101	0.150949038
102	0.1503319927
103	0.1502009559
104	0.1493319662
105	0.1488007552
106	0.1484248675
107	0.1482737493
108	0.1479932613
109	0.1474453583
110	0.1471706862
111	0.147019985
112	0.1469646603
113	0.1462124016
114	0.1461919046
115	0.1459340432
116	0.1456164432
117	0.1455921524
118	0.1450305613
119	0.1449935188
120	0.1445243369
121	0.1435034173
122	0.1434157317
123	0.1429929379
124	0.1427217409
125	0.142455408
126	0.1421814933
127	0.1421110458
128	0.1419867959
129	0.1419750043
130	0.1416593103
131	0.1415986189
132	0.1412005899
133	0.1407061123
134	0.1399497044
135	0.139726564
136	0.1393819594
137	0.1391097274
138	0.1386493711
139	0.1383957906
140	0.1379148236
141	0.1379078091
142	0.137831428
143	0.1374754413
144	0.1373895662
145	0.137117398
146	0.1366677664
147	0.1361710088
148	0.1359257285
149	0.1356219256
150	0.135559441
151	0.1348916485
152	0.1347726086
153	0.1344119285
154	0.1339909773
155	0.1338569659
156	0.1337115747
157	0.1335727797
158	0.1334001677
159	0.1332201216
160	0.1332046925
161	0.1327943014
162	0.1327403791
163	0.1326054925
164	0.1324259246
165	0.1322313936
166	0.1318070252
167	0.1317853966
168	0.1316112402
169	0.1310850267
170	0.1308880431
171	0.1308179963
172	0.1307256152
173	0.1303880825
174	0.1301286556
175	0.1300211448
176	0.1299198187
177	0.1298291607
178	0.1297156675
179	0.1293477499
180	0.1291564395
181	0.1291157099
182	0.1289261974
183	0.128754265
184	0.1284535155
185	0.1282107991
186	0.1280616376
187	0.1280096145
188	0.127851582
189	0.1276445672
190	0.127459617
191	0.1270432302
192	0.1268399964
193	0.1267873801
194	0.1266433565
195	0.1263705998
196	0.1262854314
197	0.1259795472
198	0.1259688032
199	0.1254537971
200	0.1253999343
201	0.125140188
202	0.1250579633
203	0.1249531623
204	0.1247325981
205	0.1243176348
206	0.124158386
207	0.1241287853
208	0.1240075589
209	0.1236305293
210	0.1233510336
211	0.1232446733
212	0.1232328813
213	0.1230934457
214	0.1230207486
215	0.1229467256
216	0.1227603296
217	0.1222687396
218	0.1220406018
219	0.1218468282
220	0.1217500681
221	0.1215272057
222	0.1213287447
223	0.1212495313
224	0.1211770337
225	0.1211453087
226	0.1208600549
227	0.1204299231
228	0.1204008227
229	0.12033304
230	0.1202830701
231	0.1202148474
232	0.120187237
233	0.1199201169
234	0.1198522159
235	0.1197621337
236	0.1193480229
237	0.1192481156
238	0.11912154
239	0.1189233212
240	0.1186384413
241	0.1185992903
242	0.1185112856
243	0.1184540694
244	0.1182829987
245	0.1179189335
246	0.1177957615
247	0.117595649
248	0.1175305949
249	0.1172096276
250	0.1171690169
251	0.1171621422
252	0.1168901574
253	0.1167400985
254	0.1165435331
255	0.1163400801
256	0.116096593
257	0.1160186678
258	0.1158622426
259	0.1158593087
260	0.1156760761
261	0.1156448213
262	0.1155219317
263	0.1154523868
264	0.1154175445
265	0.1153269772
266	0.1151093596
267	0.1148451682
268	0.1146992935
269	0.1145744594
270	0.11435966
271	0.1142799882
272	0.1141551499
273	0.114116092
274	0.1139655094
275	0.1138687341
276	0.1138115862
277	0.1137052003
278	0.1135994987
279	0.1134752162
280	0.1133750158
281	0.1132472788
282	0.1132185868
283	0.1131210856
284	0.1130877117
285	0.1129685477
286	0.112919272
287	0.1128725128
288	0.1127121504
289	0.1126226257
290	0.1123904331
291	0.1123198518
292	0.1121716756
293	0.1121277594
294	0.1119933528
295	0.1118132508
296	0.1117860342
297	0.111719036
298	0.1116391067
299	0.111488945
300	0.1113953205
301	0.111152397
302	0.1111241306
303	0.111039467
304	0.1108462786
305	0.1108193746
306	0.1107178265
307	0.1106145053
308	0.1103706064
309	0.1103281994
310	0.1101355595
311	0.1100623468
312	0.1100016661
313	0.1098900031
314	0.1098802085
315	0.1097727983
316	0.1097352156
317	0.1096084649
318	0.1094891966
319	0.1094794038
320	0.1094701255
321	0.1094109729
322	0.1093178411
323	0.1092571101
324	0.1090941782
325	0.1089746288
326	0.1088278354
327	0.1088061998
328	0.1086825034
329	0.1085847915
330	0.1085155783
331	0.1084365285
332	0.1082921326
333	0.1082447458
334	0.1081955168
335	0.1080803646
336	0.1080392195
337	0.1080374471
338	0.107938783
339	0.107936121
340	0.1079141117
341	0.1078826839
342	0.1077253891
343	0.1076891539
344	0.1075395712
345	0.107460565
346	0.1073387966
347	0.1071850637
348	0.1071674223
349	0.107144593
350	0.1071295275
351	0.1070324476
352	0.106675848
353	0.1066478268
354	0.1066174791
355	0.1065415099
356	0.1065199091
357	0.1064819753
358	0.1064261049
359	0.1063699858
360	0.1062462472
361	0.1061711724
362	0.1061013236
363	0.1060286673
364	0.105940243
365	0.1058814936
366	0.1058455288
367	0.1057792032
368	0.1057316816
369	0.1057239134
370	0.105683505
371	0.105634344
372	0.1056285168
373	0.1054527574
374	0.1052799399
375	0.1051951509
376	0.1051503675
377	0.1050267858
378	0.1050150333
379	0.1050132157
380	0.104991494
381	0.104931151
382	0.1049127473
383	0.1048550408
384	0.1047438999
385	0.1047222163
386	0.1047077891
387	0.1046362963
388	0.1043080898
389	0.1042203414
390	0.1040516995
391	0.1040035151
392	0.103969827
393	0.1039278976
394	0.1039041963
395	0.1037585887
396	0.1037537678
397	0.1037240693
398	0.1036447306
399	0.1035985034
400	0.1035818104
401	0.1034614323
402	0.103411345
403	0.1033953211
404	0.1033883874
405	0.1032598173
406	0.1032543501
407	0.1031970823
408	0.1031795178
409	0.1031231895
410	0.1030201436
411	0.1029711033
412	0.1029359726
413	0.1027885142
414	0.1026936062
415	0.1025917591
416	0.1025875322
417	0.1024940267
418	0.1023011582
419	0.1022002628
420	0.1021743013
421	0.1021334941
422	0.1020582283
423	0.1020156922
424	0.1019783608
425	0.1019219942
426	0.1019136286
427	0.10171821
428	0.1016810694
429	0.1015529443
430	0.1014733015
431	0.1013099758
432	0.1012687701
433	0.1011426246
434	0.1010813313
435	0.1010122363
436	0.100911757
437	0.1008628547
438	0.1005494811
439	0.1005065855
440	0.1003818886
441	0.100380523
442	0.1002509891
443	0.1001154754
444	0.100049684
445	0.1000009528
446	0.09997880764
447	0.09993464855
448	0.09981080788
449	0.09978288136
450	0.09973530015
451	0.0997308057
